company_name,city,state,metro_area,industry,estimated_employees,estimated_revenue_range,owner_or_contact,contact_title,phone,email,website
MIN+ Architecture,St. Louis,MO,St. Louis,Architecture,8,$1M-$3M,N/A,Principal,N/A,N/A,https://minplusarchitecture.com
Killeen Studio Architects,St. Louis,MO,St. Louis,Architecture,10,$1M-$3M,N/A,Principal,N/A,N/A,https://killeenstudio.com
JEMA Architects,St. Louis,MO,St. Louis,Architecture,8,$1M-$3M,N/A,Principal,N/A,N/A,https://jemastl.com
Jim Bulejski Architects,St. Louis,MO,St. Louis,Architecture,5,$500K-$1M,Jim Bulejski,Owner,N/A,N/A,N/A
St. Louis Design Alliance,St. Louis,MO,St. Louis,Architecture,10,$1M-$3M,N/A,Principal,N/A,N/A,N/A
TAI+LEE Architects,Pittsburgh,PA,Pittsburgh,Architecture,6,$1M-$2M,Yoko Tai,Owner/Principal,(412) 281-2964,N/A,https://taipluslee.com
Wildman Chalmers Design,Pittsburgh,PA,Pittsburgh,Architecture,8,$1M-$3M,N/A,Principal,N/A,N/A,https://www.wildmanchalmers.com
Pappas Architects,Pittsburgh,PA,Pittsburgh,Architecture,8,$1M-$2M,N/A,Owner,N/A,N/A,https://pappasarchitects.net
Hamilton Anderson Associates,Detroit,MI,Detroit,Architecture,20,$3M-$5M,Rainy Hamilton Jr.,Founding Partner,N/A,N/A,N/A
McIntosh Poris Associates,Detroit,MI,Detroit,Architecture,15,$2M-$5M,Michael Poris,Principal,N/A,N/A,N/A
Kraemer Design Group,Detroit,MI,Detroit,Architecture,12,$2M-$4M,N/A,Principal,N/A,N/A,https://thekraemeredge.com
Krieger Klatt Architects,Royal Oak,MI,Detroit,Architecture,8,$1M-$2M,N/A,Owner,N/A,N/A,N/A
The Hopkins Company Architects,New Orleans,LA,New Orleans,Architecture,8,$1M-$3M,George Hopkins,Principal,N/A,N/A,https://hopkinsco.com
NANO Architecture,New Orleans,LA,New Orleans,Architecture,20,$3M-$5M,N/A,Principal,N/A,N/A,https://nanollc.net
Adamick Architecture,New Orleans,LA,New Orleans,Architecture,6,$1M-$2M,N/A,Owner,N/A,N/A,https://adamickarchitecture.com
practis architecture + design,New Orleans,LA,New Orleans,Architecture,8,$1M-$3M,Tracie Ashe,Co-Owner,N/A,N/A,https://www.practis.design
Seaver Franks Architects,New Orleans,LA,New Orleans,Architecture,10,$1M-$3M,N/A,Principal,N/A,N/A,https://nola.seaverfranks.com
Self+Tucker Architects,Memphis,TN,Memphis,Architecture,15,$2M-$5M,N/A,Principal,N/A,N/A,https://selftucker.com
SAM Studio,Memphis,TN,Memphis,Architecture,6,$1M-$2M,N/A,Principal,N/A,N/A,https://www.mysamstudio.com
Crump Firm Architects,Memphis,TN,Memphis,Architecture,10,$1M-$3M,N/A,Principal,N/A,N/A,https://www.crumpfirm.com
SBJ Architects,Memphis,TN,Memphis,Architecture,6,$500K-$1.5M,N/A,Principal,N/A,N/A,N/A
TP Architecture,Oklahoma City,OK,Oklahoma City,Architecture,8,$1M-$2M,Tim Palone,Principal Architect,N/A,N/A,https://www.tp-arch.com
Green Couch Design,Oklahoma City,OK,Oklahoma City,Architecture,6,$1M-$2M,Cale Lopp,Co-Owner,N/A,N/A,https://www.greencouchdesign.net
Sam Gresham Architecture,Oklahoma City,OK,Oklahoma City,Architecture,8,$1M-$2M,Sam Gresham,Founder,N/A,N/A,N/A
Bockus Payne,Oklahoma City,OK,Oklahoma City,Architecture,15,$2M-$5M,Bruce Bockus,Founder,N/A,N/A,https://www.bockus-payne.com
Joseph A Buchek AIA Architect,West Hartford,CT,Hartford,Architecture,5,$500K-$1M,Joseph Buchek,Owner,N/A,N/A,https://www.westhartfordarchitect.com
Stone Howley Architects,West Hartford,CT,Hartford,Architecture,8,$1M-$3M,N/A,Principal,(860) 561-2931,N/A,https://www.stonehowley.com
Greenwald Architects,Hartford,CT,Hartford,Architecture,6,$1M-$2M,N/A,Principal,N/A,N/A,https://www.greenwaldarchitects.com
L'ARC Architects,West Hartford,CT,Hartford,Architecture,8,$1M-$2M,N/A,Principal,N/A,N/A,https://larcarchitects.com
Collective Efforts LLC,Pittsburgh,PA,Pittsburgh,Engineering,10,$1M-$3M,N/A,Owner,N/A,N/A,N/A
Orbital Engineering,Pittsburgh,PA,Pittsburgh,Engineering,15,$2M-$5M,N/A,Owner,N/A,N/A,N/A
Gateway Engineers,Pittsburgh,PA,Pittsburgh,Engineering,20,$3M-$7M,N/A,Owner,N/A,N/A,N/A
Mackin Engineering,Pittsburgh,PA,Pittsburgh,Engineering,18,$3M-$5M,N/A,Owner,N/A,N/A,https://www.mackinengineering.com
Caprine Engineering LLC,Birmingham,AL,Birmingham,Engineering,8,$1M-$2M,N/A,Owner,N/A,N/A,https://caprineeng.com
Engineers of the South,Birmingham,AL,Birmingham,Engineering,10,$1M-$3M,N/A,Owner,N/A,N/A,https://www.engineersofthesouth.com
Dynamic Civil Solutions,Birmingham,AL,Birmingham,Engineering,15,$2M-$5M,N/A,Principal,N/A,N/A,https://dcseng.com
CCI Planning & Engineering,Birmingham,AL,Birmingham,Engineering,12,$2M-$4M,N/A,Owner,N/A,N/A,https://www.ccipe.com
Forst & Associates,Louisville,KY,Louisville,Engineering,10,$1M-$3M,Susan Forst,Owner/Operator,N/A,N/A,https://www.forstengineering.com
Innovative Engineering Services LLC,Memphis,TN,Memphis,Engineering,8,$1M-$2M,Jeremiah Watson,Founder/Owner,N/A,N/A,http://innovativees-llc.com
Haltom Engineering LLC,Memphis,TN,Memphis,Engineering,6,$1M-$2M,N/A,Owner,N/A,N/A,https://haltomengineering.com
The Reaves Firm,Memphis,TN,Memphis,Engineering,12,$2M-$4M,N/A,Owner,N/A,N/A,https://reavesfirm.com
Chief Engineering,Germantown,TN,Memphis,Engineering,8,$1M-$2M,Casey Shockey,Founder,N/A,N/A,https://www.chiefengineering.us
ABES Engineering,Memphis,TN,Memphis,Engineering,10,$1M-$3M,N/A,Principal,N/A,N/A,https://www.abesengineering.com
Pivotal Engineering,New Orleans,LA,New Orleans,Engineering,10,$1M-$3M,N/A,Owner,N/A,N/A,https://www.pivotaleng.com
ILSI Engineering,New Orleans,LA,New Orleans,Engineering,12,$2M-$4M,N/A,Owner,N/A,N/A,https://www.ilsiengineering.com
Moses Engineers,New Orleans,LA,New Orleans,Engineering,15,$2M-$5M,N/A,Owner,N/A,N/A,https://mosesengineers.com
Marais Consultants,New Orleans,LA,New Orleans,Engineering,8,$1M-$3M,N/A,Owner,N/A,N/A,https://www.maraisconsultants.com
Lucien T. Vivien Jr. & Associates,New Orleans,LA,New Orleans,Engineering,10,$1M-$3M,N/A,President,N/A,N/A,https://vivienengineers.com
SMC Consulting Engineers,Oklahoma City,OK,Oklahoma City,Engineering,10,$1M-$3M,N/A,Owner,N/A,N/A,https://www.smcokc.com
DA Engineering,Oklahoma City,OK,Oklahoma City,Engineering,12,$2M-$4M,N/A,Owner,N/A,N/A,https://www.daemep.com
Poe & Associates,Oklahoma City,OK,Oklahoma City,Engineering,15,$2M-$5M,N/A,Owner,N/A,N/A,https://www.poeandassociates.com
Russell and Dawson Inc.,East Hartford,CT,Hartford,Engineering,18,$3M-$7M,N/A,President,N/A,N/A,https://www.rdaep.com
Macchi Engineers LLC,Hartford,CT,Hartford,Engineering,10,$1M-$3M,N/A,Owner,N/A,N/A,https://macchiengineers.com
Freeman Companies LLC,Hartford,CT,Hartford,Engineering,12,$2M-$4M,N/A,Owner,N/A,N/A,https://freemancos.com
East-West Engineering,Hartford,CT,Hartford,Engineering,8,$1M-$3M,N/A,Owner,N/A,N/A,https://east-westengineering.com
Aztech Engineers Inc.,Hartford,CT,Hartford,Engineering,10,$1M-$3M,N/A,Owner,N/A,N/A,http://www.aztecheng.com
Onyx Enterprise Inc.,Detroit,MI,Detroit,Engineering,15,$2M-$5M,N/A,Owner,N/A,N/A,http://www.onyx-enterprise.com
Giffels Webster,Detroit,MI,Detroit,Engineering,20,$3M-$7M,N/A,President,N/A,N/A,https://giffelswebster.com
Concetti Studio,Detroit,MI,Detroit,Interior Design,8,$1M-$2M,Rachel,Founder,N/A,N/A,https://concetti.studio
Parini Design,Detroit,MI,Detroit,Interior Design,6,$500K-$1.5M,N/A,Owner,N/A,N/A,https://www.parini.design
Decor and More Design Studio,Grosse Pointe,MI,Detroit,Interior Design,5,$500K-$1M,Paige Loperfido,Principal Designer,N/A,N/A,https://decorandmoredesigns.com
Patrick Thompson Design,Detroit,MI,Detroit,Interior Design,6,$500K-$1.5M,Patrick Thompson,Owner,N/A,N/A,N/A
Micah & Co. Interiors,Oklahoma City,OK,Oklahoma City,Interior Design,8,$1M-$2M,Micah Abbananto,CEO/Owner,N/A,N/A,https://micahandco.com
Kelsey Leigh Design Co.,Oklahoma City,OK,Oklahoma City,Interior Design,6,$1M-$2M,Kelsey Leigh,Founder,N/A,N/A,https://www.kelseyleighdesignco.com
A-Line Designs,Oklahoma City,OK,Oklahoma City,Interior Design,8,$1M-$2M,N/A,Owner,N/A,N/A,https://www.a-linedesigns.com
Neely+Queen Design,Oklahoma City,OK,Oklahoma City,Interior Design,10,$1M-$3M,N/A,Principal,N/A,N/A,https://neelyqueen.com
Maggie Clarke Interiors,Memphis,TN,Memphis,Interior Design,8,$1M-$2M,Maggie Clarke,CEO,N/A,N/A,https://www.maggieclarkeinteriors.com
Tara Felice Interiors,Memphis,TN,Memphis,Interior Design,6,$500K-$1.5M,Tara Engelberg,Founder/Creative Director,N/A,N/A,https://www.tarafeliceinteriors.com
B. Gaines Interior Design,Germantown,TN,Memphis,Interior Design,6,$500K-$1.5M,Becca Gaines,Owner,N/A,N/A,https://www.bgainesinteriordesign.com
GCD Interiors,Memphis,TN,Memphis,Interior Design,8,$1M-$2M,N/A,Owner,N/A,N/A,https://gcdinteriors.com
Ridgewood Designs,West Hartford,CT,Hartford,Interior Design,8,$1M-$2M,N/A,Owner,N/A,N/A,https://www.ridgewooddesigners.com
Linda P. Black Interiors,West Hartford,CT,Hartford,Interior Design,5,$500K-$1M,Linda P. Black,Owner,N/A,N/A,https://www.lindapblackinteriors.com
Heidi Core Interiors,Birmingham,AL,Birmingham,Interior Design,8,$1M-$2M,Heidi Core,Owner,N/A,N/A,https://heidicore.com
Kristen McGee Interiors,Birmingham,AL,Birmingham,Interior Design,6,$500K-$1.5M,Kristen McGee,CEO/Creative Director,N/A,N/A,https://kristenmcgeeinteriors.com
Birmingham Design House,Birmingham,AL,Birmingham,Interior Design,5,$500K-$1M,Jessica,Founder,N/A,N/A,https://www.birminghamdesignhouse.com
Cure Design Group,St. Louis,MO,St. Louis,Interior Design,8,$1M-$2M,N/A,Owner,N/A,N/A,https://curedesigngroup.com
Yours by Design,St. Louis,MO,St. Louis,Interior Design,6,$500K-$1.5M,CJ Knapp,Owner,N/A,N/A,https://www.yoursbydesign.net
JCR Design Group,St. Louis,MO,St. Louis,Interior Design,8,$1M-$2M,Jenny Rapp,Owner/Principal Designer,N/A,N/A,https://jcrdesigngroupstl.com
Amie Corley Interiors,St. Louis,MO,St. Louis,Interior Design,6,$1M-$2M,Amie Corley,Founder,N/A,N/A,https://amiecorley.com
Lisa Lynn Designs,Louisville,KY,Louisville,Interior Design,6,$500K-$1.5M,Lisa Knight,Owner,N/A,N/A,https://lisalynndesignsllc.com
Lady of the House Interior Design,Louisville,KY,Louisville,Interior Design,5,$500K-$1M,Lauren Harp,Founder,N/A,N/A,https://www.ladyofthehouseinteriordesign.com
Hubbuch & Company,Louisville,KY,Louisville,Interior Design,12,$2M-$4M,N/A,Owner,N/A,N/A,http://www.hubbuch.com
Susan Muschweck Interior Design,Pittsburgh,PA,Pittsburgh,Interior Design,5,$500K-$1M,Susan Muschweck,Owner,N/A,N/A,https://www.pittsburghinteriordecorator.com
Montague Design,Pittsburgh,PA,Pittsburgh,Interior Design,8,$1M-$2M,N/A,Owner,N/A,N/A,https://montaguedesign.com
Jennifer Janeway Designs,Pittsburgh,PA,Pittsburgh,Interior Design,6,$500K-$1.5M,Jennifer Janeway,Owner,N/A,N/A,https://www.jenniferjanewaydesigns.com
Pang Wangle,New Orleans,LA,New Orleans,Ecommerce,8,$1M-$3M,N/A,Owner,N/A,N/A,N/A
Privy Label,New Orleans,LA,New Orleans,Ecommerce,10,$1M-$3M,N/A,Owner,N/A,N/A,N/A
Orleans Coffee,New Orleans,LA,New Orleans,Ecommerce,12,$2M-$5M,N/A,Owner,N/A,N/A,N/A
Southern Paws,New Orleans,LA,New Orleans,Ecommerce,10,$1M-$3M,N/A,Owner,N/A,N/A,N/A
Specialty Luggage,Pittsburgh,PA,Pittsburgh,Ecommerce,8,$1M-$3M,N/A,Owner,N/A,N/A,N/A
Romeo Delivers,Pittsburgh,PA,Pittsburgh,Ecommerce,6,$500K-$2M,N/A,Owner,N/A,N/A,N/A
Miranda Creative Inc.,Hartford,CT,Hartford,Ecommerce,10,$1M-$3M,Maria Miranda,Founder,N/A,N/A,N/A
Infinity Events,Memphis,TN,Memphis,Event Planning,8,$1M-$2M,N/A,Owner,N/A,N/A,https://www.infinityeventsmemphis.com
Connor & Co.,Memphis,TN,Memphis,Event Planning,6,$500K-$1.5M,N/A,Owner,N/A,N/A,https://connorandco.com
TreSure Events,Memphis,TN,Memphis,Event Planning,6,$500K-$1.5M,N/A,Owner,N/A,N/A,https://tresureevents.com
Behind the Scenes,Memphis,TN,Memphis,Event Planning,15,$2M-$5M,N/A,Owner,N/A,N/A,https://www.btsmemphis.com
Borrowed Charm,Oklahoma City,OK,Oklahoma City,Event Planning,8,$1M-$2M,N/A,Owner,N/A,N/A,https://www.borrowedcharm.com
Meg Owen Events,Oklahoma City,OK,Oklahoma City,Event Planning,6,$500K-$1.5M,Meg Owen,Owner,N/A,N/A,https://megowenevents.com
A.D. Parties & Events,Oklahoma City,OK,Oklahoma City,Event Planning,6,$500K-$1.5M,N/A,Owner,N/A,N/A,https://www.adpartiesandevents.com
Epic Events,Oklahoma City,OK,Oklahoma City,Event Planning,8,$1M-$2M,N/A,Owner,N/A,N/A,http://epiceventsok.com
The Kelly Way LLC,Louisville,KY,Louisville,Event Planning,6,$500K-$1.5M,N/A,Owner,N/A,N/A,https://www.thekellywayllc.com
Certe Management,Louisville,KY,Louisville,Event Planning,10,$1M-$3M,N/A,Owner,N/A,N/A,https://www.certemanagement.com
ShaFox Events,Louisville,KY,Louisville,Event Planning,8,$1M-$2M,N/A,Owner,N/A,N/A,https://www.shafox.com
Limestone Events,Louisville,KY,Louisville,Event Planning,6,$500K-$1.5M,Audrey Petty,Owner,N/A,N/A,https://www.limestoneeventsky.com
Moby's Auto Spa,Louisville,KY,Louisville,Car Wash (Multi-Location),18,$2M-$5M,N/A,Owner,N/A,N/A,https://www.mobysautospa.com
Prestige Car Wash,Louisville,KY,Louisville,Car Wash (Multi-Location),12,$1M-$3M,N/A,Owner,N/A,N/A,https://prestigecarwashky.com
Unrivaled Car Wash,Louisville,KY,Louisville,Car Wash (Multi-Location),15,$2M-$4M,N/A,Owner,N/A,N/A,https://unrivaledcarwash.com
Dirks Car Washes,Pittsburgh,PA,Pittsburgh,Car Wash (Multi-Location),18,$2M-$5M,N/A,Owner,N/A,N/A,https://dirkscarwash.com
Sweet Pea's Wash Works,Pittsburgh,PA,Pittsburgh,Car Wash (Multi-Location),10,$1M-$3M,N/A,Owner,N/A,N/A,https://sweetpeaswashworks.com
