company_name,city,state,metro_area,industry,estimated_employees,estimated_revenue_range,owner_or_contact,contact_title,phone,email,website
Drake's Carwash,Pittsburgh,PA,Pittsburgh,Car Wash (Multi-Location),12,$1M-$3M,N/A,Owner,N/A,N/A,https://drakescarwash.com
The Car Wash Guys,Birmingham,AL,Birmingham,Car Wash (Multi-Location),10,$1M-$3M,N/A,Owner,N/A,N/A,https://thecarwashguysllc.com
Anthony's Car Wash,Birmingham,AL,Birmingham,Car Wash (Multi-Location),12,$1M-$3M,N/A,Owner,N/A,N/A,https://anthonyscarwash.com
Tracy's Treasure Daycare,Birmingham,AL,Birmingham,Daycare Chain,15,$1M-$2M,Tracy,Owner,N/A,N/A,https://www.tracysdaycare.com
ABC Child Development Center,Birmingham,AL,Birmingham,Daycare Chain,12,$1M-$2M,N/A,Owner,N/A,N/A,https://www.abcchilddevelopment.net
Moxi Childcare,Birmingham,AL,Birmingham,Daycare Chain,15,$1M-$3M,Cori Fain-Forrest,Founder,N/A,N/A,https://www.moxichildcare.com
Mary Margaret's Day Care,St. Louis,MO,St. Louis,Daycare Chain,20,$3M-$5M,N/A,Owner,N/A,N/A,https://www.marymargaretdaycare.com
North American Montessori,St. Louis,MO,St. Louis,Daycare Chain,18,$2M-$5M,N/A,Owner,N/A,N/A,https://www.namontessori.com
Our Angels Child Care Center,Louisville,KY,Louisville,Daycare Chain,15,$1M-$3M,N/A,Owner,N/A,N/A,https://www.ourangelschildcare.com
Little Hands Academy,Louisville,KY,Louisville,Daycare Chain,12,$1M-$2M,N/A,Owner,N/A,N/A,N/A
Early Learning Childcare,Louisville,KY,Louisville,Daycare Chain,15,$1M-$3M,N/A,Owner,N/A,N/A,https://www.earlylearningchild.com
HumanKind Hospitality,Oklahoma City,OK,Oklahoma City,Restaurant Group,20,$3M-$7M,Shaun Fiaccone,Co-Founder,N/A,N/A,https://feedhumankind.com
One Table Hospitality,Oklahoma City,OK,Oklahoma City,Restaurant Group,18,$2M-$5M,Jonathon Stranger,Founder/Chef,N/A,N/A,https://onetablehospitality.com
A Good Egg Dining Group,Oklahoma City,OK,Oklahoma City,Restaurant Group,20,$3M-$7M,N/A,Owner,N/A,N/A,N/A
Richard DeShantz Restaurant Group,Pittsburgh,PA,Pittsburgh,Restaurant Group,20,$5M-$10M,Richard DeShantz,Chef/Owner,N/A,N/A,https://richarddeshantz.com
Legacy Hospitality Group,Pittsburgh,PA,Pittsburgh,Restaurant Group,18,$3M-$7M,Herky Pollock,Co-Owner,N/A,N/A,N/A
NPL Restaurant Group,Pittsburgh,PA,Pittsburgh,Restaurant Group,15,$2M-$5M,N/A,Owner,N/A,N/A,N/A
Spell Restaurant Group,Memphis,TN,Memphis,Restaurant Group,20,$3M-$7M,Rick Spell,Co-Owner,N/A,N/A,https://spellrestaurantgroup.com
Eat Across the Board,Memphis,TN,Memphis,Restaurant Group,15,$2M-$5M,Ryan Trimm,Owner/Chef,N/A,N/A,https://www.eatacrosstheboard.com
Enjoy A|M Restaurant Group,Memphis,TN,Memphis,Restaurant Group,20,$3M-$7M,Andy Ticer,Co-Owner/Chef,N/A,N/A,N/A
Huey's Restaurants,Memphis,TN,Memphis,Restaurant Group,20,$5M-$10M,N/A,Owner (Boggs Family),N/A,N/A,N/A
Dickie Brennan & Company,New Orleans,LA,New Orleans,Restaurant Group,20,$5M-$10M,Dickie Brennan,Owner,N/A,N/A,https://www.frenchquarter-dining.com
The Link Restaurant Group,New Orleans,LA,New Orleans,Restaurant Group,20,$5M-$10M,Donald Link,Co-Founder/Chef,N/A,N/A,https://linkrestaurantgroup.com
Rizzuto Restaurant Group,New Orleans,LA,New Orleans,Restaurant Group,15,$2M-$5M,N/A,Owner,N/A,N/A,https://management.rizzutosristorante.com
Niche Food Group,St. Louis,MO,St. Louis,Restaurant Group,20,$5M-$10M,Gerard Craft,Founder/Chef,N/A,N/A,https://nichefoodgroup.com
O+O Hospitality,St. Louis,MO,St. Louis,Restaurant Group,18,$3M-$7M,N/A,Owner,N/A,N/A,https://oohosp.com
Hamilton Hospitality STL,St. Louis,MO,St. Louis,Restaurant Group,15,$2M-$5M,N/A,Owner,N/A,N/A,https://hamiltonhospitality.net
Bengelina Hospitality Group,St. Louis,MO,St. Louis,Restaurant Group,18,$3M-$7M,N/A,Owner,N/A,N/A,https://bengelina.com
Bluegrass Hospitality Group,Louisville,KY,Louisville,Restaurant Group,20,$5M-$10M,Brian McCarty,Co-Founder,N/A,N/A,https://bluegrasshospitality.com
Ole Restaurant Group,Louisville,KY,Louisville,Restaurant Group,18,$3M-$7M,N/A,Owner,N/A,N/A,https://www.ole-restaurants.com
Endeavor Restaurant Group,Louisville,KY,Louisville,Restaurant Group,18,$3M-$7M,Steve Ritchie,Founder,N/A,N/A,https://endeavorrestaurantgroup.com
Vicari Restaurant Group,Detroit,MI,Detroit,Restaurant Group,20,$5M-$10M,Joe Vicari,Owner,N/A,N/A,https://vicarirestaurants.com
Heirloom Hospitality,Detroit,MI,Detroit,Restaurant Group,18,$3M-$7M,N/A,Owner,N/A,N/A,https://heirloomhospitality.com
Prime Concepts Detroit,Detroit,MI,Detroit,Restaurant Group,15,$2M-$5M,N/A,Owner,N/A,N/A,https://www.primeconceptsdetroit.com
Max Hospitality,Hartford,CT,Hartford,Restaurant Group,20,$5M-$10M,Scott Smith,Co-Owner,N/A,N/A,https://www.maxrestaurantgroup.com
Hartford Restaurant Group,Hartford,CT,Hartford,Restaurant Group,20,$5M-$10M,Phil Barnett,Partner,N/A,N/A,http://www.hartfordrestaurantgroup.com
DORO Restaurant Group,West Hartford,CT,Hartford,Restaurant Group,18,$3M-$7M,N/A,Owner,N/A,N/A,https://www.dororg.com
Fire by Forge Catering,Hartford,CT,Hartford,Catering,10,$1M-$3M,N/A,Owner,N/A,N/A,https://www.firebyforge.com
Delicacy Catering,West Hartford,CT,Hartford,Catering,12,$1M-$3M,N/A,Owner,N/A,N/A,https://www.delicacycatering.com
Bourassa Catering & Events,Hartford,CT,Hartford,Catering,15,$2M-$5M,N/A,Owner,N/A,N/A,https://bourassacatering.com
Cafe Louise,Hartford,CT,Hartford,Catering,10,$1M-$3M,N/A,Owner,N/A,N/A,https://cafelouise.com
Shaken and Stirred Events,Hartford,CT,Hartford,Catering,8,$1M-$2M,N/A,Owner,N/A,N/A,https://www.shakenandstirredevents.com
Savoie Catering,Birmingham,AL,Birmingham,Catering,10,$1M-$3M,Nico Berg,Owner,N/A,N/A,https://www.savoiecatering.com
Table & Thyme,Birmingham,AL,Birmingham,Catering,12,$1M-$3M,N/A,Owner,N/A,N/A,https://tableandthyme.co
Corretti Catering,Birmingham,AL,Birmingham,Catering,10,$1M-$3M,N/A,Owner,N/A,N/A,https://corretticatering.com
Happy Catering Company,Birmingham,AL,Birmingham,Catering,8,$1M-$2M,N/A,Owner,N/A,N/A,https://happycatering.net
Majestic Catering Services,Birmingham,AL,Birmingham,Catering,12,$1M-$3M,N/A,Owner,N/A,N/A,https://www.majesticcatering.com
The Art of Entertaining,St. Louis,MO,St. Louis,Catering,15,$2M-$5M,Ann Marie Lemcke,Owner,N/A,N/A,https://www.theaofe.com
Catering St. Louis Events,St. Louis,MO,St. Louis,Catering,20,$5M-$7M,Mark Erker,Founder,N/A,N/A,https://cateringstlouis.com
Ces & Judy's Catering,St. Louis,MO,St. Louis,Catering,15,$2M-$5M,N/A,Owner,N/A,N/A,https://www.cesandjudys.com
Callier's Catering,St. Louis,MO,St. Louis,Catering,12,$1M-$3M,N/A,Owner,N/A,N/A,https://www.callierscatering.com
Muddy's Bake Shop,Memphis,TN,Memphis,Bakery (Wholesale),12,$1M-$3M,Kat,Owner,N/A,N/A,https://www.muddysbakeshop.com
Ricki's Cookie Corner,Memphis,TN,Memphis,Bakery (Wholesale),8,$1M-$2M,Ricki Krupp,Owner,N/A,N/A,N/A
Sugar Avenue Bakery,Memphis,TN,Memphis,Bakery (Wholesale),8,$1M-$2M,N/A,Owner,N/A,N/A,https://www.sugaravenue.com
Daughters Baking,Birmingham,AL,Birmingham,Bakery (Wholesale),8,$1M-$2M,N/A,Owner,N/A,N/A,https://www.daughtersbaking.com
Bae's Baekery,Louisville,KY,Louisville,Bakery (Wholesale),8,$500K-$1.5M,N/A,Owner,N/A,N/A,https://baesbaekerylou.com
Adam Matthews,Louisville,KY,Louisville,Bakery (Wholesale),12,$1M-$3M,N/A,Owner,N/A,N/A,https://adammatthews.com
Plehn's Bakery,Louisville,KY,Louisville,Bakery (Wholesale),10,$1M-$2M,N/A,Owner,N/A,N/A,N/A
Wagner Garage Door,St. Louis,MO,St. Louis,Garage Door Contractor,10,$1M-$3M,N/A,Owner,N/A,N/A,https://wagnergaragedoor.com
EntryPoint Door and Fence,St. Louis,MO,St. Louis,Garage Door Contractor,8,$1M-$2M,N/A,Owner,N/A,N/A,https://entrypointstl.com
Bourgeois Door Company,St. Louis,MO,St. Louis,Garage Door Contractor,12,$1M-$3M,N/A,Owner,N/A,N/A,https://bourgeoisdoorco.com
Precision Garage Door of St. Louis,St. Louis,MO,St. Louis,Garage Door Contractor,10,$1M-$3M,N/A,Owner,N/A,N/A,https://precisiongaragedoorstl.com
Town & Country Door,Oakland County,MI,Detroit,Garage Door Contractor,12,$1M-$3M,N/A,Owner,N/A,N/A,https://www.townandcountrydoor.net
J & G Garage Door Services,Detroit,MI,Detroit,Garage Door Contractor,10,$1M-$3M,N/A,Owner,N/A,N/A,https://jggaragedoors.com
ABC Door Company,Roseville,MI,Detroit,Garage Door Contractor,8,$1M-$2M,N/A,Owner,N/A,N/A,https://www.abcgaragedoorllc.com
Anderson Door Company,Clinton Township,MI,Detroit,Garage Door Contractor,10,$1M-$3M,N/A,Owner,N/A,N/A,https://www.andersondoorcompany.com
Memphis Garage Door,Memphis,TN,Memphis,Garage Door Contractor,8,$1M-$2M,N/A,Owner,N/A,N/A,https://www.memphisgaragedoor.com
Dixie Door,Memphis,TN,Memphis,Garage Door Contractor,10,$1M-$3M,N/A,Owner,N/A,N/A,https://dixiedooronline.com
Mid-South Door Co.,Memphis,TN,Memphis,Garage Door Contractor,10,$1M-$3M,N/A,Owner,N/A,N/A,https://midsouthdoor.com
Swimming Pool Services LLC,Birmingham,AL,Birmingham,Pool Service,10,$1M-$2M,Glen Jacobson,Founder,N/A,N/A,N/A
Cox Pools,Birmingham,AL,Birmingham,Pool Service,15,$2M-$5M,Gordie Robinson,Owner,N/A,N/A,https://coxpoolsinc.com
Elite Pool Services,Birmingham,AL,Birmingham,Pool Service,10,$1M-$3M,Brad,Owner,N/A,N/A,https://elitepoolservices.com
Aquabama Pool Spa & Patio,Birmingham,AL,Birmingham,Pool Service,8,$1M-$2M,N/A,Owner,N/A,N/A,https://www.aquabama.com
Shoemaker Pool Service,Birmingham,AL,Birmingham,Pool Service,8,$1M-$2M,N/A,Owner,N/A,N/A,https://www.shoemakerpools.com
Hammerhead Pools,New Orleans,LA,New Orleans,Pool Service,6,$500K-$1.5M,Derek,Owner,N/A,N/A,https://www.hammerheadnola.com
Pleasure Pools,New Orleans,LA,New Orleans,Pool Service,15,$2M-$5M,Charles,Owner,N/A,N/A,https://pleasurepoolsno.com
Maestri Pools,Covington,LA,New Orleans,Pool Service,10,$1M-$3M,Gary Maestri Sr.,Owner,N/A,N/A,https://www.maestripools.com
DPK Pools,New Orleans,LA,New Orleans,Pool Service,8,$1M-$2M,Doug King,Owner/Project Manager,N/A,N/A,https://dpkpools.com
Oasis Pools and Spas,New Orleans,LA,New Orleans,Pool Service,8,$1M-$2M,Mike Stanton Sr.,Owner,N/A,N/A,https://www.oasispoolsandspasllc.com
American Pool Service,Southfield,MI,Detroit,Pool Service,12,$1M-$3M,Steve Richardson,Owner,N/A,N/A,https://americanpoolsvcmi.com
Crystal Clear Pools & Spas,Detroit,MI,Detroit,Pool Service,8,$1M-$2M,Robert McGee,Owner,N/A,N/A,http://crystalclearpoolsmi.com
The Pool Guys LLC,Detroit,MI,Detroit,Pool Service,8,$1M-$2M,N/A,Owner,N/A,N/A,https://www.thepoolguysllc.com
Ultimate Pool Service Inc.,Detroit,MI,Detroit,Pool Service,8,$1M-$2M,Ken Clements,Founder,N/A,N/A,https://ultimatepoolservice.net
CK Flooring,Louisville,KY,Louisville,Flooring Contractor,8,$1M-$2M,N/A,Owner,N/A,N/A,https://www.ckflooringdesign.com
